Wall time,Step,Value
1714985064.9422169,0,0.6685348153114319
1714985115.3827007,1,0.65354323387146
1714985165.547927,2,0.640627384185791
1714985219.2705312,3,0.625312089920044
1714985269.366259,4,0.6150131821632385
1714985319.803547,5,0.604394793510437
1714985371.0344107,6,0.5934459567070007
1714985422.3667483,7,0.5763344168663025
1714985511.4422474,8,0.5526605844497681
1714985627.1764367,9,0.5196035504341125
1714985742.3063507,10,0.49898818135261536
1714985857.6804254,11,0.46532347798347473
1714985973.529427,12,0.549143373966217
1714986088.9032865,13,0.4694291651248932
1714986204.4759855,14,0.41980504989624023
1714986320.6364944,15,0.41269147396087646
1714986436.8294344,16,0.42078897356987
1714986552.189938,17,0.40909600257873535
1714986667.3884778,18,0.3962109684944153
1714986782.5264626,19,0.3992845118045807
1714986899.2014961,20,0.387886643409729
1714987014.963851,21,0.38701164722442627
1714987130.8465497,22,0.3709946572780609
1714987245.6958702,23,0.3651302754878998
1714987360.809594,24,0.3630385100841522
1714987476.5901875,25,0.3475878834724426
1714987591.5797632,26,0.38466519117355347
1714987665.7205236,27,0.36355486512184143
1714987715.8398693,28,0.3521273136138916
1714987777.4534116,29,0.33274346590042114
1714987906.9081945,30,0.33914321660995483
1714988026.527224,31,0.3317855894565582
1714988145.8242686,32,0.321079820394516
1714988264.6181192,33,0.32174456119537354
1714988382.7453191,34,0.32118457555770874
1714988501.6968648,35,0.3165890574455261
1714988621.1160374,36,0.3147311210632324
1714988740.1198955,37,0.2997901141643524
1714988858.9666297,38,0.2958788275718689
1714988978.7933364,39,0.2871657609939575
1714989097.6716552,40,0.2865564525127411
1714989216.6451757,41,0.2860865890979767
1714989335.4846985,42,0.31569474935531616
1714989462.5783598,43,0.30040931701660156
1714989598.6800418,44,0.2835460901260376
1714989736.149298,45,0.27887511253356934
1714989874.9814825,46,0.27201205492019653
1714990015.8156383,47,0.27567774057388306
1714990157.8019228,48,0.26495814323425293
1714990301.066674,49,0.2640826404094696
1714990435.6763647,50,0.26259955763816833
1714990574.8510022,51,0.2540138065814972
1714990709.0638459,52,0.25114622712135315
1714990860.259275,53,0.24462908506393433
1714991001.053612,54,0.23971809446811676
1714991139.066489,55,0.23512938618659973
1714991276.6151128,56,0.240775004029274
1714991414.4801762,57,0.23293714225292206
1714991552.744394,58,0.24117375910282135
1714991688.514165,59,0.22376549243927002
1714991819.5416687,60,0.22511370480060577
1714991954.700883,61,0.2516586482524872
1714992081.6877472,62,0.2829729914665222
1714992208.5074632,63,0.24681343138217926
1714992337.3601274,64,0.22716420888900757
1714992466.5342712,65,0.22849784791469574
1714992595.3355296,66,0.22699284553527832
1714992723.3578165,67,0.2566402554512024
1714992850.789175,68,0.1985837072134018
1714992978.7647772,69,0.20532521605491638
1714993110.427197,70,0.22213156521320343
1714993236.6344044,71,0.2097596824169159
1714993365.1280246,72,0.1971372365951538
1714993494.2018461,73,0.19299989938735962
1714993621.655001,74,0.18167485296726227
1714993749.1210487,75,0.1851627379655838
1714993876.361724,76,0.18472440540790558
1714994002.9522123,77,0.18224014341831207
1714994130.088661,78,0.17431135475635529
1714994256.9571621,79,0.17117944359779358
1714994382.924264,80,0.163968026638031
1714994509.0994468,81,0.1841675192117691
1714994669.326256,82,0.1664934754371643
1714994718.0422795,83,0.17232255637645721
1714994766.9895341,84,0.17502515017986298
1714994816.2320893,85,0.15988989174365997
1714994865.2009864,86,0.15585070848464966
1714994914.167518,87,0.14948703348636627
1714994963.253065,88,0.14654351770877838
1714995012.3063726,89,0.14110253751277924
1714995061.4593182,90,0.14287297427654266
1714995110.1064248,91,0.1382216215133667
1714995158.8773773,92,0.13618627190589905
1714995207.739715,93,0.13429807126522064
1714995256.4595845,94,0.14799709618091583
1714995305.579541,95,0.1301681399345398
1714995354.3424978,96,0.1315421462059021
1714995403.31835,97,0.1290283352136612
1714995452.632138,98,0.12409231066703796
1714995501.8974419,99,0.12030842155218124
1714995551.5871162,100,0.1145380437374115
1714995600.725678,101,0.1288827359676361
1714995649.4889169,102,0.15149831771850586
1714995698.5669758,103,0.11661996692419052
1714995747.7567892,104,0.10979817807674408
1714995797.0884664,105,0.1343134492635727
1714995846.2110217,106,0.11237403750419617
1714995895.281451,107,0.1099933385848999
1714995944.2298298,108,0.10432232916355133
1714995993.3044224,109,0.10464561730623245
1714996042.7527058,110,0.10592053830623627
1714996091.628858,111,0.09666939079761505
1714996140.7207136,112,0.10339590907096863
1714996189.913541,113,0.10240571945905685
1714996239.0366404,114,0.09137585014104843
1714996288.284881,115,0.09633860737085342
1714996337.4137516,116,0.09740867465734482
